                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4441,                 2.4492,                 1.1314,                0.36256,                0.33263,                0.22259,                0.13694,                 1.4136,                 1.3193,                  1.122,              0.0002077,              0.0002077,              0.0002077
                      2,                 1.3181,                 1.3885,                 1.0924,                0.39255,                0.37156,                0.30121,                0.19487,                 1.3824,                 1.2116,                 1.1096,             0.00041089,             0.00041089,             0.00041089
                      3,                 1.2874,                 1.2116,                 1.0837,                0.42694,                0.39412,                0.33642,                0.21713,                 1.3657,                 1.1747,                 1.1144,             0.00060892,             0.00060892,             0.00060892
                      4,                 1.2599,                 1.1047,                 1.0736,                0.33609,                0.43093,                0.33261,                0.21817,                 1.3513,                 1.1983,                 1.1146,              0.0006018,              0.0006018,              0.0006018
                      5,                 1.2468,                 1.0204,                 1.0701,                0.40962,                0.46052,                0.38939,                0.25931,                 1.3755,                 1.1265,                 1.1208,             0.00059406,             0.00059406,             0.00059406
                      6,                 1.2202,                0.94585,                  1.064,                0.41864,                0.46131,                0.38512,                0.25722,                 1.3288,                 1.1013,                 1.1061,             0.00058633,             0.00058633,             0.00058633
                      7,                  1.206,                0.89805,                 1.0589,                0.45379,                0.49981,                0.39842,                0.26969,                 1.3227,                 1.1862,                  1.107,             0.00057859,             0.00057859,             0.00057859
                      8,                 1.1924,                0.86184,                 1.0552,                0.46284,                0.51755,                0.41149,                0.28239,                 1.3148,                 1.1168,                 1.1058,             0.00057086,             0.00057086,             0.00057086
                      9,                   1.19,                 0.8367,                 1.0575,                0.47562,                0.48601,                0.42506,                 0.2944,                  1.303,                 1.1313,                 1.1034,             0.00056313,             0.00056313,             0.00056313
                     10,                 1.1648,                0.80502,                 1.0448,                 0.4629,                0.51051,                0.38586,                0.26536,                 1.3036,                  1.187,                 1.1021,             0.00055539,             0.00055539,             0.00055539
                     11,                 1.1547,                0.77972,                 1.0416,                0.46586,                0.53678,                0.43243,                0.29712,                 1.3028,                 1.0521,                 1.1181,             0.00054766,             0.00054766,             0.00054766
                     12,                 1.1558,                0.77552,                 1.0432,                0.46078,                0.51982,                0.40368,                0.27573,                 1.3186,                 1.1253,                 1.1116,             0.00053992,             0.00053992,             0.00053992
                     13,                 1.1467,                0.75121,                 1.0416,                0.50257,                0.54533,                0.43279,                0.29941,                 1.3253,                 1.1058,                 1.1018,             0.00053219,             0.00053219,             0.00053219
                     14,                 1.1285,                0.72472,                 1.0312,                0.50889,                0.52567,                0.42927,                0.29663,                 1.3031,                  1.098,                 1.1059,             0.00052445,             0.00052445,             0.00052445
                     15,                 1.1239,                0.71651,                   1.03,                0.45444,                0.58127,                0.42871,                0.29622,                 1.2813,                 1.1107,                 1.0997,             0.00051672,             0.00051672,             0.00051672
                     16,                 1.1193,                0.71383,                 1.0283,                0.50388,                0.52385,                0.41524,                0.28801,                 1.2822,                 1.1888,                 1.1064,             0.00050898,             0.00050898,             0.00050898
                     17,                 1.1193,                0.70297,                 1.0271,                0.45475,                0.59777,                0.42097,                0.29215,                 1.2873,                 1.1638,                 1.1015,             0.00050125,             0.00050125,             0.00050125
                     18,                 1.1104,                0.69432,                 1.0265,                0.47429,                0.55858,                0.41282,                0.28488,                 1.3005,                  1.125,                 1.1257,             0.00049352,             0.00049352,             0.00049352
                     19,                 1.1093,                 0.6917,                 1.0271,                0.47469,                0.55142,                 0.4123,                0.28896,                 1.2853,                  1.206,                 1.1021,             0.00048578,             0.00048578,             0.00048578
                     20,                 1.0981,                0.68171,                 1.0213,                0.49589,                0.53349,                0.41827,                0.29048,                 1.2847,                 1.1314,                 1.1009,             0.00047805,             0.00047805,             0.00047805
                     21,                 1.0947,                0.67134,                 1.0209,                0.52094,                0.54138,                0.43743,                0.30702,                  1.293,                  1.156,                 1.1026,             0.00047031,             0.00047031,             0.00047031
                     22,                 1.0911,                0.66929,                 1.0218,                 0.5037,                0.55243,                0.43533,                 0.3076,                 1.2767,                 1.2719,                 1.0941,             0.00046258,             0.00046258,             0.00046258
                     23,                 1.0909,                0.66375,                 1.0204,                0.51465,                0.54568,                0.42176,                0.29584,                 1.2681,                 1.2332,                 1.0987,             0.00045484,             0.00045484,             0.00045484
                     24,                 1.0852,                0.65278,                 1.0157,                0.49222,                0.57811,                0.42091,                 0.2958,                 1.2748,                 1.1467,                 1.0959,             0.00044711,             0.00044711,             0.00044711
                     25,                 1.0842,                0.65014,                 1.0181,                0.49339,                0.59406,                0.43501,                 0.3062,                 1.2726,                 1.1292,                 1.0933,             0.00043937,             0.00043937,             0.00043937
                     26,                 1.0807,                0.65094,                 1.0166,                0.49582,                0.59927,                0.45542,                0.32219,                 1.2708,                  1.138,                 1.1009,             0.00043164,             0.00043164,             0.00043164
                     27,                 1.0717,                0.63602,                 1.0151,                0.50601,                0.54036,                0.44135,                0.31695,                 1.2798,                 1.2013,                 1.1034,             0.00042391,             0.00042391,             0.00042391
                     28,                 1.0663,                0.63455,                 1.0101,                 0.5112,                0.59273,                 0.4491,                0.31881,                 1.2781,                 1.1486,                 1.0953,             0.00041617,             0.00041617,             0.00041617
                     29,                 1.0644,                0.63026,                  1.012,                0.50219,                0.58554,                0.44135,                0.31212,                  1.267,                 1.1779,                 1.0934,             0.00040844,             0.00040844,             0.00040844
                     30,                 1.0669,                0.62998,                 1.0087,                0.50073,                0.57863,                0.44223,                0.31493,                 1.2599,                 1.1442,                 1.1019,              0.0004007,              0.0004007,              0.0004007
                     31,                 1.0523,                0.61917,                 1.0059,                0.49957,                0.57704,                0.43519,                0.30863,                 1.2601,                  1.153,                 1.0898,             0.00039297,             0.00039297,             0.00039297
                     32,                 1.0513,                0.61378,                 1.0066,                0.49385,                0.59244,                0.43567,                0.31015,                 1.2612,                 1.2045,                 1.0943,             0.00038523,             0.00038523,             0.00038523
                     33,                  1.048,                0.60908,                  1.004,                0.49443,                0.60825,                0.43449,                0.30854,                  1.259,                 1.1745,                  1.101,              0.0003775,              0.0003775,              0.0003775
                     34,                 1.0445,                0.60915,                 1.0064,                0.49265,                0.59553,                 0.4448,                0.31961,                 1.2641,                 1.2052,                 1.0974,             0.00036977,             0.00036977,             0.00036977
                     35,                 1.0433,                0.60488,                  1.001,                0.47266,                0.60501,                0.42418,                0.30189,                 1.2666,                 1.2338,                 1.0994,             0.00036203,             0.00036203,             0.00036203
                     36,                 1.0403,                0.60164,                 1.0018,                0.48401,                0.59484,                0.42266,                0.29986,                 1.2626,                 1.2468,                 1.0938,              0.0003543,              0.0003543,              0.0003543
                     37,                 1.0346,                0.59408,                0.99789,                0.51347,                0.59155,                0.43604,                0.30957,                 1.2641,                 1.2317,                 1.1001,             0.00034656,             0.00034656,             0.00034656
                     38,                 1.0307,                 0.5897,                0.99552,                0.51557,                0.57533,                0.42898,                0.30562,                  1.255,                 1.1994,                 1.0959,             0.00033883,             0.00033883,             0.00033883
                     39,                 1.0361,                 0.5933,                 1.0024,                0.49743,                0.61657,                0.44604,                0.31868,                 1.2569,                 1.1353,                 1.0967,             0.00033109,             0.00033109,             0.00033109
                     40,                  1.034,                0.58677,                 1.0009,                 0.5225,                0.59723,                0.44577,                0.31639,                 1.2624,                  1.153,                 1.0939,             0.00032336,             0.00032336,             0.00032336
                     41,                  1.027,                 0.5835,                0.99624,                0.50399,                0.58331,                0.42976,                 0.3072,                 1.2617,                  1.271,                 1.0978,             0.00031562,             0.00031562,             0.00031562
                     42,                 1.0311,                 0.5836,                 1.0014,                0.51969,                0.59258,                0.44489,                0.31752,                 1.2546,                 1.1901,                 1.0931,             0.00030789,             0.00030789,             0.00030789
                     43,                 1.0165,                 0.5764,                0.99196,                0.51955,                0.59397,                0.43677,                0.31299,                 1.2471,                 1.1888,                 1.0973,             0.00030016,             0.00030016,             0.00030016
                     44,                 1.0079,                0.56919,                0.98831,                0.49826,                0.59623,                0.43745,                0.31331,                 1.2541,                 1.1934,                 1.0923,             0.00029242,             0.00029242,             0.00029242
